composition,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Ba0.55 Cr1.66 Fe1.22 Hf0.7 W1.61 Zr1.5,6.7017,0.7926,103.768,225.3066,5.1755,14.2993,1.339,86.105,-0.2032,0.3817,2385.8246,5.6832,7.0621,0.3869
Nb1 Ni1 V1,6.6667,0.1967,11.3333,144.3333,-21.7778,9.1339,1.1267,57.0,-0.0341,0.0741,2220.3333,5.7733,7.0483,0.039
Co1 Cr1 Cu1 Ni1 Ti1 V1,7.5,0.2133,16.0,177.0,-11.0,14.8967,1.34,69.2167,-0.0527,0.1182,1859.6283,4.43,7.2647,0.0438
Co1 Mo1 Si1 Ta1 Zr1,6.4,0.424,25.2,185.0,-46.56,13.3809,2.0,68.8,-0.0834,0.1866,2353.8,6.094,7.531,0.1785
Al1 Cu1 Mn1 Ni1 Ta1 V1,7.5,0.2267,16.5,152.0,-13.6667,14.8967,1.4483,51.9333,-0.0563,0.1145,1835.2067,4.6033,7.237,0.0526
Al1 Co1 Cr1 Mn1 Si1,5.8,0.18,10.8,172.6,-31.04,13.3809,2.106,59.66,-0.1257,0.291,1617.494,3.88,7.2438,0.041
Cr0.24 Fe1.99 Mo1.14,7.181,0.2695,8.4599,255.7596,-1.7663,7.1989,1.1558,97.2047,-0.015,0.0354,2204.3116,5.1264,7.5495,0.058
Al1.41 C1.65 Co0.26 Nb1.21 Ni1.6,5.7455,0.5992,42.4698,380.5204,-59.7843,12.4394,2.3545,82.3268,-0.2012,0.4709,2337.3446,5.596,8.0703,0.2966
Au1 Co1 Cu1 Ni1,8.75,0.4825,13.75,154.25,3.75,11.5257,1.0475,56.575,-0.0629,0.1297,1547.775,4.03,8.1182,0.1554
Co1 Cu1 Fe1 Ni1 Pd1 Ti1,8.6667,0.3367,15.5,164.5,-17.0,14.8967,1.3717,61.55,-0.0342,0.0704,1738.97,4.2233,7.719,0.0739
Fe1.39 Mn1.22 Ni0.26 Sc0.99 V0.87 Zr0.2,6.1623,0.295,25.8377,160.2982,-9.6655,13.4372,1.5372,53.0101,-0.0806,0.1708,1813.4726,4.0221,7.2478,0.0701
Al1 Cu1 Hf1 Ni1 V1,7.4,0.37,26.4,134.4,-23.68,13.3809,1.566,47.52,-0.0682,0.1469,1741.648,4.524,6.9846,0.101
Cu1 Ni1,10.5,0.005,2.0,165.0,4.0,5.7628,1.08,62.15,-0.0225,0.0497,1542.885,3.965,7.683,0.0001
Al1 Cr1 Fe1 Mo1 Ni1 Ti1,6.1667,0.375,16.6667,200.8333,-17.7778,14.8967,1.76,77.2167,-0.0983,0.1951,1914.9117,4.6417,7.037,0.0882
B0.96 Co1.47 Cu0.39 Mn1.25 Ni1.92,8.0718,0.2977,33.8815,237.3005,-15.2183,12.5353,1.3864,80.4603,-0.1107,0.2776,1769.6228,4.2554,7.7672,0.0522
Al1.16 Fe0.76 Pd1.67 Re1.13,8.197,0.3136,13.2669,204.8347,-18.7375,11.2141,1.5836,77.8492,-0.2162,0.5713,1995.9107,4.7826,7.5798,0.1055
Ag1.07 Co0.39 Cu1.77 Fe1.26 Mo1.15,9.172,0.2183,12.1862,185.2181,20.267,12.6609,1.0947,68.8229,-0.094,0.2098,1777.7319,4.3053,7.6197,0.0267
Al1 Cu1 Fe1 Ni1 Pd1 Ta1,8.5,0.375,15.8333,153.0,-21.7778,14.8967,1.4583,57.6,-0.0585,0.1163,1824.715,4.5933,7.5802,0.1018
Ag1 Al1 Co1 Cr1 Fe1 Ni1,7.8333,0.1933,17.3333,175.3333,0.8889,14.8967,1.3633,67.3833,-0.1035,0.2092,1609.2333,3.92,7.292,0.0306
Ba1.59 Cr0.25 Fe1.71 Hf1.4 Mn1.09 Mo1.04 Nb1.53 Re1.52,6.693,0.6945,96.3425,204.8588,17.3125,16.6239,1.4269,70.1451,-0.2872,0.6609,2257.9408,5.2216,6.9942,0.2926
Al1.34 Co1.89 Fe1.43 Nb1.89 Ni0.94,6.8518,0.1553,16.8879,157.1415,-23.7954,13.1313,1.4775,58.4128,-0.0732,0.1477,1869.6822,4.9934,7.2326,0.0357
Al1.57 Au1.8 Ba0.26 Co1.66 Mn1.28 Mo0.97 Si0.97 Ta0.62,5.8499,1.0053,120.1062,152.4973,-25.1139,16.3674,1.8416,50.9596,-0.1537,0.3654,1697.3989,4.3415,7.6278,0.3191
Al1 Cr1 Pd1 Si1 V1 Zr1,5.3333,0.4783,28.3333,133.1667,-57.5556,14.8967,1.9667,53.7167,-0.1152,0.2938,1823.2533,4.6367,7.1035,0.1462
Co0.49 Cu0.36 Fe1.67 Mn1.15 Ni1.4,8.6351,0.2484,2.2801,199.069,-1.3454,12.2324,1.0749,66.613,-0.0412,0.081,1685.5103,3.9702,7.709,0.0383
Au1 Hf1,6.5,0.62,7.5,111.0,-63.0,5.7628,1.38,28.5,-0.0014,0.0028,1921.665,4.91,8.0255,0.7688
Co1.72 Fe1.75 Mo0.6 Ni0.91,8.4699,0.2584,12.1446,222.5161,-2.7866,10.8103,1.1042,83.0643,-0.0124,0.0285,1911.7048,4.6533,7.7501,0.02
Co1 Cu1 Mn1 Ni1 Si1 Ti1,7.5,0.24,20.0,160.0,-31.8889,14.8967,1.965,54.2167,-0.0395,0.0832,1666.795,4.12,7.61,0.0554
Al1.45 Fe1.51 Ni0.56 Ti0.35,6.0543,0.1929,22.3876,147.9871,-19.9532,10.2436,1.9794,56.8256,-0.0916,0.2058,1481.9565,4.01,7.0491,0.0345
Au1 Cr1 Ni1 Si1 Ti1,5.8,0.63,19.8,156.0,-41.92,13.3809,2.126,61.8,-0.1095,0.2502,1774.666,4.364,7.7224,0.2386
Si1 W1,7.0,0.23,14.0,259.0,-31.0,5.7628,2.975,104.0,-0.1233,0.3004,2691.0,6.765,8.0075,0.1058
Au1.92 Co0.24 Cr1.23 Fe1.81 Mn0.7 Ni0.67 Ti0.7 V1.11,6.3926,0.6386,13.8735,169.5561,-10.3762,16.1001,1.1732,63.1504,-0.1019,0.2231,1784.51,4.23,7.7353,0.2682
Co1 Cu1 Fe1 Mo1 Ni1 Si1 Ta1,8.1429,0.3686,17.5714,196.0,-21.9592,16.1783,1.6743,73.9,-0.0429,0.0942,2076.8243,5.1643,7.7556,0.0646
Al1 Co1 Ni1 Ti1 V1,6.2,0.196,17.4,144.6,-29.44,13.3809,1.826,55.66,-0.0572,0.1154,1710.694,4.47,7.0162,0.0456
Cr1 Cu1 Mo1 Ni1 Zr1,7.4,0.462,24.2,206.4,-11.04,13.3809,1.192,78.46,-0.0949,0.1963,2057.954,5.076,7.1732,0.1568
Cr1.69 W0.12,6.2652,0.6536,10.2707,287.7514,0.2476,2.0283,0.9538,118.0497,-0.0039,0.0094,2280.442,4.4182,6.8397,0.0607
Cr0.99 Cu1.88 Fe1.06 Mn0.17 Zr1.53,7.5329,0.3491,23.7105,163.7211,-10.0923,12.0224,1.13,61.8142,-0.0959,0.2309,1801.8717,4.5549,7.2849,0.1085
Co1 Mo1 Sc1 Sn1 Ta1 Zr1,5.8333,0.4617,24.0,157.0,-16.4444,14.8967,2.1567,57.3333,-0.1647,0.371,2066.8467,5.375,7.235,0.2014
Ni1 Ti1 Y1,5.6667,0.3533,28.3333,126.6667,-22.6667,9.1339,2.02,53.6667,-0.0407,0.0871,1822.6667,4.5833,6.895,0.159
Co0.79 Cu1.61 Mo1.97 Si1.38 Ti1.13,6.7849,0.373,19.516,189.1395,-22.9748,13.0149,2.1546,70.9292,-0.0939,0.2077,2007.1569,4.9989,7.502,0.081
Al1.13 Au0.54 Co0.43 Cr0.21 Cu0.74 Fe0.98 V1.41 Zr0.98,5.9455,0.8034,26.7181,131.6604,-22.4102,16.3181,1.4136,51.3257,-0.0894,0.2024,1703.7413,4.5578,7.1699,0.1816
Be1 Co1 Cu1 Mo1 Ni1,7.6,0.314,19.2,231.0,0.32,13.3809,1.316,90.26,-0.0568,0.1184,1861.954,4.5,7.9336,0.0703
Be1 Y1,2.5,0.175,36.5,175.5,-32.0,5.7628,1.935,86.5,-0.1142,0.2767,1679.5,3.91,7.7695,0.0613
Al1 Co1 Cr1 Cu1 Mo1 Nb1 Ni1 Y1,6.625,0.5225,42.25,173.25,-10.625,17.2885,1.4625,67.45,-0.1124,0.2412,1926.53,4.8288,7.0094,0.1409
Co1.0 Cr1.28 Cu0.98 Fe1.26 Ni1.05 Re1.68 Ti1.73 Zr1.67,7.523,0.3841,23.3887,216.4207,-20.1725,17.0795,1.4846,82.9037,-0.141,0.3357,2132.2145,5.2282,7.3448,0.09
Au1 Mo1,5.5,0.19,2.5,203.5,3.0,5.7628,1.195,73.5,-0.1612,0.4002,2116.665,5.31,8.1625,0.0722
Fe1.14 Ni1.53,9.1461,0.0458,1.1461,204.6966,-1.9573,5.6738,1.113,78.5618,-0.0007,0.0014,1763.4382,4.3717,7.7519,0.0031
Al0.35 Au1.26 Co1.64 Ta1.48 Ti1.53,6.6374,0.7152,20.7748,146.6933,-31.4974,12.6384,1.7512,53.6206,-0.0681,0.1331,2036.7732,5.2032,7.7905,0.3022
Ag1 Fe1 Pd1,9.6667,0.2133,10.6667,138.3333,7.5556,9.1339,1.0067,52.0,-0.0793,0.1785,1624.66,3.7067,7.9383,0.0488
Cu1 Fe1 Nb1 Ti1 W1,7.6,0.514,11.2,194.6,-2.56,13.3809,1.566,74.66,-0.1476,0.3763,2310.954,5.818,7.4158,0.1686
Co0.91 Cr1.93 Cu0.48 Fe0.85 Nb1.37,6.9856,0.1718,14.3484,201.13,-7.3939,12.5467,1.0639,78.5458,-0.0767,0.1544,2125.4259,4.9805,7.2052,0.0272
Co1.02 Cr0.94 Nb1.19 Zr1.28,5.8442,0.2808,18.6095,162.6885,-21.1742,11.4643,1.2175,61.4131,-0.1131,0.2737,2223.228,5.801,6.9829,0.0798
Co0.91 Nb0.29 Zr0.83,6.3842,0.2851,17.6897,147.1232,-35.5282,8.3417,1.2595,52.5419,-0.0694,0.1494,2055.4778,5.7193,7.2109,0.1294
Nb1 Sn1,4.5,0.18,8.0,77.5,-1.0,5.7628,2.645,28.0,-0.0552,0.1276,1627.54,5.355,7.0515,0.0648
Ag1 Al1 Co1 Fe1 N1,7.2,0.982,50.8,174.6,-53.76,13.3809,2.19,50.66,-0.0977,0.2111,1162.11,3.974,8.7758,0.506
B1 Cu1 Li1 Mo1 Ni1 V1 Zn1,6.8571,0.7729,43.0,193.7143,-1.7959,16.1783,1.4986,74.0714,-0.2188,0.4718,1665.7286,4.11,7.4707,0.2622
Fe0.89 Ni0.58,8.7891,0.0484,1.2109,206.6599,-1.9111,5.5766,1.0934,79.6327,-0.0007,0.0014,1778.2517,4.3431,7.7986,0.0031
Al0.63 Cu0.19 Mo0.43 Si1.22 Sn0.25 V0.2 W1.57 Zr0.24,6.3636,0.6705,31.3911,221.2981,-24.0844,14.7293,2.5314,86.9505,-0.2189,0.4388,2330.7024,6.0779,7.4756,0.1945
Al1 Co1 Fe1 Nb1 Ni1 Ti1,6.5,0.1883,16.0,151.8333,-28.0,14.8967,1.7667,56.8833,-0.0713,0.1433,1821.9117,4.815,7.166,0.0441
Sc1 Zn1,7.5,0.145,14.0,91.0,-29.0,5.7628,2.765,36.0,-0.0173,0.0378,1253.34,2.31,7.978,0.042
Co1.4 Cr1.16 Fe0.41 Ni1.95 Si0.14 W1.36,8.8006,0.4117,16.9626,259.609,-6.3615,13.2281,1.2117,100.5857,-0.0542,0.1208,2239.4844,5.3064,7.6101,0.1067
Au1.62 Cu0.43 Mo1.14 Nb1.18 Ta1.98 Ti0.74,6.5374,0.6512,15.4302,160.1326,-18.3601,14.0647,1.487,58.5795,-0.1154,0.2809,2432.6228,6.2047,7.7591,0.355
Co0.66 Cr0.49 Fe0.92 Hf0.6 Li0.61 Mg1.2 Mn0.52 Pd0.35,5.8299,0.6554,21.0654,142.2785,1.2945,16.7363,1.3213,47.8228,-0.2399,0.5194,1536.2288,3.3911,7.314,0.2252
Co1.48 Mo0.25 N0.93 Re0.89 Ti0.58,7.6465,0.9253,53.0121,278.431,-77.4681,12.3019,2.2726,87.6852,-0.1434,0.3458,1841.0798,5.4707,9.1837,0.538
Be1.3 Mo1.45 Ni0.18 Ti1.74,4.2955,0.4049,26.9379,232.9743,-19.2347,10.0805,2.162,93.3276,-0.078,0.1786,2123.2505,5.0311,7.6377,0.1572
Al1 Co1 Cu1 Fe1 Re1 Ti1,7.6667,0.2367,16.8333,199.8333,-12.3333,14.8967,1.7533,75.6,-0.1662,0.4287,1878.3733,4.7117,7.3672,0.0426
Ag1 Al1 Cu1 Mn1 W1 Y1,7.5,0.5983,38.8333,159.3333,-0.2222,14.8967,1.5617,56.9333,-0.2226,0.684,1756.5283,4.3467,7.1338,0.2556
Al1 Be1 Cr1 Cu1 Hf1 Mo1 Sn1 V1,5.625,0.4363,29.125,177.125,-7.25,17.2885,1.8688,68.325,-0.1939,0.407,1765.165,4.45,7.2269,0.1265
Co1.21 Fe0.91 Nb0.97,7.4498,0.1774,14.1133,176.9417,-18.6704,9.0694,1.1269,65.4466,-0.0379,0.0824,2088.9288,5.3559,7.535,0.0296
Co1.88 Ta1.32,9.0,0.2232,12.3375,199.5125,-23.265,5.6349,1.2527,72.525,-0.0008,0.0017,2395.825,5.9204,7.8847,0.07
Co1 Cu1 Ni1 Ta1 Zr1,8.6,0.374,23.4,163.8,-24.16,13.3809,1.25,60.26,-0.0391,0.0786,2054.354,5.39,7.5542,0.1173
Co1 Cr1 Mn1 Ni1 Zr1,7.2,0.336,27.2,196.0,-22.24,13.3809,1.13,66.8,-0.0955,0.2075,1864.6,4.476,7.2712,0.0927
Al1 Au1 Cr1 Fe1 Nb1 Ni1,6.1667,0.6817,15.0,157.1667,-18.1111,14.8967,1.41,60.7167,-0.135,0.2925,1789.9667,4.5917,7.38,0.212
Al0.91 Co0.97 Cr1.54 Mo0.35 Ti0.38,5.8602,0.4284,19.2265,206.1012,-15.1833,12.2034,1.6368,80.1212,-0.1094,0.2097,1848.8669,4.3036,6.8897,0.0583
C0.77 Co0.55 Cr1.97 Fe1.21 Ta1.01 Ti0.69,6.6742,0.7662,55.1871,321.9823,-39.5395,14.1095,1.6684,96.4468,-0.0649,0.1389,2441.1371,5.302,7.8351,0.1975
Al1.87 Co0.11 Cr0.36 Hf0.13,3.9676,0.313,37.0729,110.5466,-13.9004,6.5258,2.5514,41.5915,-0.1551,0.5892,1235.0805,3.6537,6.2284,0.0173
Cr1 Ni1 Ti1 V1 Zr1,5.8,0.296,21.4,163.4,-21.76,13.3809,1.5,65.0,-0.0867,0.1964,2032.0,5.046,6.923,0.0704
Au0.76 Co1.27 Cu0.72 Si0.73 Ti1.68,6.3547,0.6679,22.3992,133.9729,-39.9798,12.8367,2.1663,50.1504,-0.0475,0.0975,1692.1929,4.3612,7.7528,0.2037
Cr1 Cu1 Mn1 Nb1 V1,6.8,0.232,13.4,168.0,1.76,13.3809,1.038,58.66,-0.1,0.2482,1997.954,4.678,7.0864,0.0296
Cr1.78 Cu1.7 Mn1.15 Ni1.37 Ti1.58,7.5792,0.1927,15.9142,185.0396,-7.3997,13.2829,1.4409,66.0554,-0.0922,0.206,1763.7993,4.002,7.2538,0.0515
Cr1.24 Ti1.62 V1.24,4.9073,0.0635,9.678,168.9268,-5.0338,9.0644,1.7477,69.4049,-0.0811,0.1931,2086.4732,4.7623,6.7848,0.0055
Co1 Fe1,8.5,0.025,0.5,210.0,-1.0,5.7628,1.04,78.5,-0.001,0.002,1789.5,4.335,7.8915,0.0012
Pd1 Zr1,7.0,0.435,10.5,107.5,-91.0,5.7628,1.225,38.5,-0.0096,0.0204,1978.025,5.21,7.4855,0.3785
Al1 Ti1,3.5,0.035,14.5,93.0,-30.0,5.7628,3.02,35.15,-0.0285,0.0634,1437.235,4.105,6.407,0.0025
Al1 Fe1 Hf1 Nb1 Re1,7.0,0.348,21.8,198.6,-26.56,13.3809,1.708,70.86,-0.2445,0.6508,2291.894,5.826,7.0704,0.0886
Ag1.28 Au1.24 Co0.72 Cr0.37 Mn1.17 N0.51 Zr0.29,7.3262,1.0082,65.7634,155.6613,-35.2117,15.0985,1.3887,42.8943,-0.109,0.3212,1388.0136,3.758,8.4856,0.4782
Al1 Co1 Ni1 Pd1 Ti1 V1,6.8333,0.405,15.8333,140.6667,-36.7778,14.8967,1.6817,53.7167,-0.0541,0.1098,1730.2533,4.3733,7.2363,0.1037
Al0.27 Cr0.29 Nb1.15 Ni1.87 V1.5 Zn0.28,7.0634,0.1871,14.0448,152.3881,-21.3137,12.6087,1.2477,60.4125,-0.0558,0.1182,2004.9529,5.1208,7.1619,0.038
Co1 Cr1 Cu1 Ti1 V1 Zr1,6.5,0.3267,23.0,159.3333,-13.6667,14.8967,1.395,62.05,-0.0809,0.1885,1926.295,4.7783,7.097,0.0767
Sc1.72 Ta1.26,5.5369,0.0808,9.2349,121.3557,15.6188,5.6634,2.6782,45.9128,-0.074,0.1852,2438.0805,5.3122,7.1235,0.0096
Cr1 Mn1 Mo1 Ni1 Pd1,7.8,0.346,7.6,225.4,-10.88,13.3809,1.096,78.0,-0.097,0.2019,2030.21,4.434,7.4554,0.1351
Hf1 V1 Zr1,5.6667,0.21,17.0,122.0,-2.6667,9.1339,1.3833,40.0,-0.0425,0.0913,2272.3333,5.9533,6.735,0.0444
Al1.39 Co0.34 Cu1.68 Mg1.19,6.1065,0.3483,15.8457,95.7196,-3.0207,10.5739,1.8709,35.5285,-0.0967,0.2292,1147.4058,3.005,7.191,0.1141
Be0.84 Co1.13 Cr1.08 Fe0.1 Ti1.93 V0.78,5.2474,0.2311,26.1468,191.7048,-19.9447,13.3955,1.7905,78.0563,-0.0767,0.1825,1927.0666,4.461,7.3847,0.0315
Mo1 Nb1 Ni1 V1,6.5,0.335,11.75,190.5,-15.5,11.5257,1.1925,72.75,-0.078,0.1747,2389.25,6.035,7.061,0.1041
Cr1 W1,8.0,0.35,5.5,345.0,1.0,5.7628,1.175,138.0,-0.0129,0.0278,2937.5,6.5,7.3155,0.245
Al0.24 Cu0.71 Fe0.71 Mo1.9 Ti0.44,6.8425,0.4141,16.36,233.7625,2.6318,11.4644,1.538,86.5463,-0.0938,0.1618,2207.5749,5.3538,7.2562,0.0987
Ag0.89 Co1.34 Fe1.53 Mg1.91 Mn0.78 Ti0.54,6.5136,0.3466,11.8469,140.1702,8.0703,14.2056,1.4564,48.0959,-0.1413,0.3098,1464.2243,3.2671,7.6513,0.1216
Fe1 Mg1 Mn1 Si1 Ti1,5.0,0.316,20.2,135.4,-24.48,13.3809,2.332,45.0,-0.1002,0.223,1576.2,3.638,7.5922,0.0919
Al1 Co1 Cr1 Fe1 Nb1 Ni1,6.8333,0.1617,18.1667,179.0,-19.2222,14.8967,1.415,68.7167,-0.0894,0.1819,1861.745,4.69,7.1558,0.033
Co1.54 Cr1.87 Cu0.53 Mg1.95 Ni0.21 V0.34,5.9953,0.323,12.3835,168.5963,9.7428,12.7653,1.2897,65.9377,-0.155,0.3397,1618.6162,3.4099,7.4058,0.1095
Cr0.21 Ni0.13,7.5294,0.1544,2.4706,248.7941,-6.6125,5.5305,1.0118,100.0882,-0.0173,0.0359,2007.1765,4.23,7.1008,0.0295
Cr0.67 Cu0.83 Nb0.14,8.4451,0.1763,16.4634,188.7378,9.4664,7.6526,0.9946,74.6701,-0.09,0.2029,1812.5299,4.0875,7.2517,0.0318
Al1 Au1 Hf1 Mn1 Ti1,5.4,0.832,21.0,121.2,-40.16,13.3809,1.97,32.46,-0.0192,0.0405,1647.36,4.19,7.2598,0.3686
Al0.38 Co1.59 Fe0.41 Mn1.73 Ni0.3,7.6735,0.1853,7.2063,192.2812,-9.6658,11.2224,1.2192,55.8308,-0.0695,0.1505,1599.6868,3.7178,7.5279,0.0503
Au1 Y1,4.0,0.66,17.0,71.0,-74.0,5.7628,1.435,34.0,-0.0194,0.0424,1568.165,4.13,7.7215,0.8712
Cr1.86 Fe0.25 Ni0.21,6.5776,0.2091,3.4224,264.5216,-2.4556,5.2768,0.9557,107.9138,-0.0102,0.0176,2099.3233,4.1502,6.9683,0.0142
Fe0.45 Hf1.95 Ni0.84,8.5185,0.3782,21.3426,167.8241,-33.5237,7.7299,1.5058,49.1481,-0.0816,0.2308,2207.7685,5.3687,7.1859,0.1635
Fe0.97 Sc1.05 V1.05,5.2638,0.2408,20.9511,135.7557,-4.5053,9.1282,1.8332,55.3225,-0.0671,0.1512,1939.2573,4.2868,7.0483,0.0734
Al1 Fe1 Mn1 Mo1 Nb1,5.8,0.41,14.8,182.6,-12.16,13.3809,1.564,60.26,-0.1493,0.3485,1981.894,4.99,7.036,0.1026
Au0.91 Fe1.14 Hf0.79 Ni0.91 Si1.78 Zr1.65,5.9624,0.7657,24.7535,132.7075,-66.2222,14.4855,2.0971,48.61,-0.081,0.1803,1859.0237,5.0347,7.6884,0.3023
Mn0.73 Ta1.77,8.416,0.0354,13.452,189.504,-3.3078,5.0211,1.4182,59.072,-0.035,0.0685,2772.868,6.5874,7.7568,0.001
Co1.76 Cu0.43 Fe1.16 Ni1.67 Re1.67 Zr0.75,9.129,0.4991,28.6734,248.1465,-11.2827,14.1135,1.19,93.6585,-0.1152,0.2576,2157.8725,5.3356,7.6953,0.0572
Cr1 Ni1 Ti1 Zr1,6.0,0.3,20.25,172.25,-27.5,11.5257,1.65,67.0,-0.1005,0.2267,1994.25,4.98,6.9672,0.0879
Cu1 Fe1 Nb1 Pd1 Ti1,7.6,0.386,11.2,136.6,-25.6,13.3809,1.472,51.26,-0.0414,0.094,1937.564,4.816,7.5104,0.111
Al1 Au1 Hf1 Mn1 Ni1 Pd1 V1 Zr1,6.5,0.7813,21.875,129.125,-46.75,17.2885,1.4162,41.0375,-0.0675,0.1576,1770.3562,4.5338,7.3535,0.3261
Al0.37 Co0.4 Cr1.54 Fe0.32 Ni1.41 Ti1.34,6.6859,0.1913,16.3457,194.0743,-21.8657,13.3059,1.6681,76.0578,-0.0759,0.1491,1863.7033,4.3573,7.1076,0.044
Co1.89 Cr0.91 Fe0.38 Ni0.3 Ti1.8,6.7633,0.1857,13.9678,188.9924,-21.1393,11.5563,1.7017,71.8864,-0.0475,0.1156,1898.8068,4.4918,7.3178,0.0475
Co1 Cr1 Hf1 Nb1 Ni1 W1,8.0,0.575,22.1667,224.6667,-19.1111,14.8967,1.27,82.5,-0.1342,0.2952,2437.8333,5.9033,7.2893,0.2134
Ag1.19 Cr1.95 Cu0.28 Ni1.91 Zr1.15,7.9583,0.4051,24.3781,180.4506,-8.5049,12.2654,1.1119,70.4605,-0.1176,0.2371,1828.4602,4.3939,7.1907,0.096
Co1 N1 Ta1,7.6667,0.9,47.0,231.6667,-120.8889,9.1339,2.4833,61.3333,-0.028,0.0621,1707.05,5.7933,10.1017,0.8581
Al1 C1 Co1 Mo1 Ni1 Ti1,6.0,0.6083,50.5,329.0,-49.7778,14.8967,2.2567,85.2167,-0.1429,0.3157,2196.9117,5.205,7.7823,0.2313
Al0.23 Ni1.4,9.0123,0.2577,5.1534,181.6564,-10.6651,3.3835,1.421,68.9871,-0.0391,0.0629,1615.8884,4.2876,7.4066,0.0218
Al1.49 Co1.7 Fe1.3 Ni1.98 Ti0.83,7.3,0.2455,21.0205,167.9699,-22.0805,13.0704,1.7004,63.053,-0.0603,0.1156,1614.1425,4.226,7.3129,0.0396
Fe1 Li1 N1 Ni1 Ti1 V1,5.5,1.2183,59.6667,161.0,-68.5556,14.8967,2.0017,50.5333,-0.1472,0.2598,1363.3,4.2333,8.1737,0.7722
Ni1 Ti1 V1,6.3333,0.2167,12.0,148.0,-24.4444,9.1339,1.6967,59.0,-0.0235,0.0496,1950.6667,4.8667,7.0713,0.0496
Fe1 Nb1 Ni1 Ti1 V1,6.4,0.208,11.6,152.0,-20.16,13.3809,1.492,59.4,-0.0404,0.0843,2082.6,5.29,7.175,0.0406
Cr1.96 Ni1.08 Pd1.45 Re1.89 Ti0.77,8.5217,0.3422,12.9483,266.1091,-15.6773,12.9328,1.3185,103.7175,-0.1223,0.2526,2352.6983,5.194,7.518,0.0925
Au1 Co1 Cr1 Re1,7.75,0.545,10.5,257.25,5.25,11.5257,1.0875,98.75,-0.1448,0.3142,2186.0825,5.0475,7.9385,0.2158
Be0.37 Co1.72 Cr1.94 N0.86 Ni0.86 Si0.71 Sn0.63 Ti1.79,6.0,1.167,59.8547,197.3018,-60.182,16.1909,2.3197,70.2894,-0.1071,0.2162,1619.1565,4.3602,8.0899,0.3374
Cr1.32 Ni0.38,6.8941,0.1941,3.1059,261.3412,-4.8598,4.4176,0.9736,106.2824,-0.0122,0.0234,2078.9647,4.176,6.9621,0.0217
Au0.8 Co1.03 Fe0.78 Mo0.67 Pd0.86 Zr0.17,7.6125,0.7491,24.942,181.6056,-8.5462,14.1546,1.0882,66.5104,-0.0991,0.2126,1897.3752,4.623,8.0547,0.1724
Cr0.69 Fe1.52 Nb0.44 Sc1.56 Si1.43 Ti0.12 Zn1.77,6.7224,0.31,27.8234,137.1793,-32.8431,14.5983,2.4826,55.0531,-0.0922,0.225,1615.954,3.6333,7.8345,0.0716
Al1 Cr1 Mo1 Ni1 Pd1,7.0,0.298,11.6,199.8,-20.32,13.3809,1.488,76.26,-0.1169,0.239,1913.104,4.522,7.1658,0.1196
Al0.95 Cu0.29 Li0.94 V1.64 Zr1.7,3.9819,0.4623,24.0036,87.7283,-2.7734,12.3245,1.4705,34.8768,-0.1495,0.2704,1613.1704,4.6278,6.4016,0.1331
Al0.16 Cr0.22,4.7368,0.0289,5.7895,191.0,-9.7507,5.6588,1.8,77.6526,-0.1426,0.3181,1655.1453,3.7884,6.4382,0.0012
Au1 Co1,7.0,0.33,9.5,143.5,7.0,5.7628,1.015,51.0,-0.0928,0.2215,1552.665,4.095,8.5535,0.2178
Au1 Fe1 Ni1 Ti1 Zr1,6.2,0.71,19.8,139.8,-37.44,13.3809,1.546,52.4,-0.0861,0.1839,1789.066,4.78,7.646,0.3378
Cr0.29 Cu0.44 Fe1.81 Ti1.19,6.9223,0.1925,13.9088,176.4236,-9.3108,9.6948,1.6657,68.467,-0.0474,0.1058,1827.6994,4.3547,7.4504,0.0403
Al1 Mo1 Ni1 Si1 Zr1,5.4,0.452,29.6,160.0,-49.76,13.3809,2.314,60.46,-0.1375,0.3222,1874.494,5.156,7.102,0.1628
Cr1 Hf1 Ni1 Pd1 Ti1 V1 W1,7.5714,0.56,20.4286,199.8571,-27.7551,16.1783,1.4514,75.2857,-0.1412,0.3344,2294.4357,5.3586,7.2867,0.2434
Al1.76 Co1.67 Fe1.27 Hf0.14 Nb1.09 Ta1.7 Zr0.28,6.7585,0.3619,27.1492,153.8976,-26.1736,14.5465,1.659,56.6167,-0.0767,0.1536,2077.4484,5.4833,7.2472,0.0551
Al1 Cr1 Cu1 Sn1 Zr1,5.6,0.362,22.8,124.6,-16.0,13.3809,2.078,48.12,-0.1973,0.5256,1420.864,4.124,6.8914,0.1016
Au1 Mg1,3.5,0.615,0.5,61.5,-32.0,5.7628,1.505,22.0,-0.0234,0.0517,1130.165,2.655,8.436,0.7564
Cr0.47 Nb0.12 V1.18,5.2655,0.0359,12.7797,166.5367,-2.1011,6.6917,0.9338,71.113,-0.0593,0.1421,2220.6441,5.1419,6.7525,0.0005
Au1 Cr1 Cu1 Fe1 Nb1,7.0,0.634,11.6,160.6,-4.64,13.3809,1.058,62.06,-0.1197,0.2699,1887.22,4.648,7.676,0.2248
