composition,Mean VEC,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Co0.15 Cr1.87 Mn1.3 Mo1.96 Si0.85 Ti1.09,5.705,20.611,231.677,-19.761,13.555,1.816,82.398,-0.11,0.211,2152.673,4.808,7.173,0.126
Al1 Fe1 Ni1 Ta1 W1 Zr1,7.333,24.5,195.333,-26,14.897,1.618,74.55,-0.147,0.348,2264.245,5.935,7.319,0.221
Au1 Co1 Nb1 Ni1 Pd1,7.8,11.6,142.6,-20.32,13.381,1.094,52,-0.07,0.147,1882.276,4.818,7.969,0.204
Ba0.79 Co0.48 Fe0.28 Nb1.71 Ni0.63 Ti1.12,5.483,95.8,120.786,11.151,13.633,1.751,44.92,-0.142,0.274,2018.12,5.11,6.813,0.201
Al1 B1 Cu1 Si1,5.25,25.5,189.25,-13.25,11.526,2.878,72.9,-0.228,0.606,1581.81,4.302,7.54,0.049
Hf1.06 Mo1.14 Nb1.27 Si1.7 Ti0.17 Zr0.34,5.371,26.414,157.505,-50.113,13.345,2.435,55.539,-0.134,0.35,2354.171,6.107,7.251,0.189
Hf1 Mn1 Mo1 Nb1 V1,6.2,18,180.8,-3.36,13.381,1.284,56,-0.137,0.353,2370.8,5.728,6.973,0.158
Ba1.42 Cr1.21 Fe1.88 V1.18 Zr1.43,5.163,93.177,145.813,21.336,13.258,1.287,58.267,-0.206,0.409,1837.284,4.302,6.726,0.231
Ba0.41 Co1.12 Fe1.36 V0.45 W1.86 Zr1.5,7.258,107.637,222.303,-3.463,13.85,1.301,85.4,-0.183,0.366,2373.16,5.979,7.362,0.381
Al1 Au1 Mn1 Ta1 W1,6.8,16.8,188.6,-15.68,13.381,1.612,63.66,-0.237,0.645,2154.96,5.416,7.68,0.395
Co1.58 Cr1.89 Hf1.36 Ni1.65 Zn1.98,9.066,25.953,188.796,-17.735,13.308,1.385,69.408,-0.087,0.185,1719.209,3.886,7.769,0.082
V1 Y1,4,22,96,17,5.763,1.385,49,-0.012,0.027,1991,4.885,6.482,0.084
Au1.52 Co0.31 Cr1.58 Cu1.42 Nb1.58 Ni0.79 V0.64,6.95,11.302,154.922,-9.794,15.27,1.058,60.094,-0.116,0.271,1920.982,4.775,7.546,0.23
Co1.42 Cr0.35 Cu0.13 Ni0.87 Si0.79,7.913,11.053,188.163,-26.611,11.589,1.824,71.988,-0.03,0.067,1765.775,4.394,7.767,0.01
Ag0.86 Al1.83 B1.57 Cu1.53 Mg0.9 Mo1.86 Ni0.18 Pd1.54,6.49,41.13,192.761,-11.576,16.329,1.818,71.535,-0.24,0.561,1740.906,4.27,7.46,0.148
Ni0.3 Re1.13,10.79,10.273,407.825,1.326,4.271,1.35,156.601,-0.039,0.07,3095.853,7.174,7.83,0
Cu0.83 Fe1.93,8.902,1.399,186.641,10.935,5.084,1.035,71.866,-0.023,0.046,1674.703,4.042,7.849,0.002
Co1 Fe1 Mn1 Re1 Ti1,7.8,14.6,239.4,-13.28,13.381,1.512,82.8,-0.151,0.377,2099.6,4.868,7.585,0.052
Al1.68 Mo1.15 Re1.81 Si0.41 Ta0.97 Ti1.66,6.362,24.053,227.973,-28.135,14.186,2.291,86.407,-0.201,0.462,2378.184,5.937,7.137,0.107
Au0.52 Mg0.22 Mo0.17 Nb1.91 Ni1.06 Pd0.54 W0.57,7.076,15.279,164.038,-23.493,13.914,1.259,61.493,-0.165,0.462,2318.29,5.973,7.551,0.256
Au1.86 Cu0.11 Mn0.59 Nb1.27,5.48,14.585,106.932,-25.038,9.203,1.114,32.492,-0.013,0.031,1834.334,4.906,8.089,0.446
Al1.11 C1.02 Cr1.82 Mg0.19 Nb1.61 Ta1.34 Ti1.3,5.247,59.284,266.284,-43.052,15.296,2.093,74.608,-0.175,0.404,2447.178,5.762,7.417,0.21
Cr1 Fe1 Ni1 Pd1 Re1 Ti1,8.167,13.5,231.667,-19.333,14.897,1.42,89.833,-0.114,0.266,2157.842,4.91,7.559,0.087
Co0.73 Fe1.13 Nb0.85 Ni0.79 Re0.46 Zr0.87,7.516,23.787,193.17,-27.047,14.633,1.225,72.534,-0.113,0.299,2170.226,5.652,7.424,0.091
Mo1 V1 Zr1,5,15.667,183.667,-4.444,9.134,1.26,70,-0.119,0.275,2402.333,6.22,6.826,0.236
Al1 Au1 Co1 Fe1 Hf1 Mn1 V1,6.429,25.714,148.286,-24.653,16.178,1.4,47.471,-0.098,0.214,1722.543,4.297,7.429,0.264
Cu1 Fe1 Pd1 Ta1 Ti1,8.4,11.2,152.8,-25.6,13.381,1.522,57.46,-0.034,0.072,2045.564,4.922,7.737,0.131
Co0.69 Cu0.73 Fe0.34 Ni1.83 Ti0.39 V1.12,8.318,18.204,169.696,-11.439,13.524,1.198,65.68,-0.02,0.038,1802.161,4.509,7.444,0.036
Cu0.81 Ni1.28 Si0.7 V0.16 Zr0.4,8.033,32.973,147.546,-38.208,11.948,1.85,57.201,-0.04,0.075,1699.407,4.541,7.605,0.073
Cr1 Cu1 Mo1 Ta1 Ti1,7.2,9.6,208,0.32,13.381,1.582,79.26,-0.079,0.167,2332.954,5.472,7.262,0.122
Al1 Li1 Mo1,3.333,18.333,136.667,17.778,9.134,1.807,50.167,-0.388,1.001,1427.707,3.937,6.159,0.465
Al1.21 Co0.58 Nb0.96 Ni0.13 Re1.51 Ta1.23,7.585,16.877,224.311,-25.578,13.632,1.726,84.579,-0.209,0.491,2542.592,6.468,7.277,0.055
Ag1 Co1 Hf1 Mn1,8.75,20,158.5,-8.25,11.526,1.212,42.5,-0.083,0.197,1756.982,4.07,7.429,0.131
Mn1 Ni1 Ti1 V1 Zr1,6,21.6,147.2,-22.4,13.381,1.526,49,-0.048,0.106,1899.8,4.81,7.056,0.07
Al1.52 Co0.97 Cr0.25 Fe0.89 Hf0.42 V1.72,5.87,30.402,146.847,-21.015,13.527,1.564,56.342,-0.083,0.188,1750.07,4.482,6.922,0.045
B1 Co1 Cu1 Mo1 Ni1 Pd1 Si1,7.571,36.571,220.857,-26.122,16.178,1.863,82.9,-0.114,0.272,1944.831,4.77,7.876,0.031
Al0.71 Co1.05 Cr1.55 Fe0.26 Pd0.68 W1.55,7.803,12.372,254.447,-9.7,13.82,1.343,99.39,-0.12,0.224,2299.888,5.328,7.401,0.181
Cr0.61 Cu1.02 Ni1.95 Ti0.89 V0.46,8.162,16.592,173.41,-13.297,12.319,1.411,67.545,-0.048,0.108,1788.234,4.357,7.32,0.048
Co1 Fe1 Nb1 Ti1 W1,7.2,11.6,210.4,-16,13.381,1.572,80,-0.125,0.302,2393,5.998,7.447,0.168
Al1 Cr1 Cu1 Mn1 Si1 Ti1,5.833,20.5,150,-28,14.897,2.255,52.6,-0.115,0.302,1603.04,3.892,7.149,0.046
Au1 Co1 Hf1 Ni1 Pd1 Si1,7.667,25.333,143.167,-49.667,14.897,1.738,49.833,-0.072,0.153,1809.063,4.528,8.01,0.281
Al1.41 Be0.58 Cu1.79 Fe1.68 Mn0.7,7.049,17.886,160.867,-1.179,12.642,1.574,58.825,-0.117,0.286,1421.62,3.599,7.493,0.041
Au1 Co1 Ti1 V1 Zn1,7,11.8,127.8,-22.56,13.381,1.6,49.2,-0.05,0.106,1584.402,3.94,8.015,0.265
Al1 Co1 Mg1 Ni1,6,17,131,-11,11.526,1.802,48.575,-0.148,0.312,1338.118,3.425,7.288,0.117
Al0.71 Co0.41 Mo1.81 Nb0.98 Ni0.4 Zr0.23,5.837,24.295,206.035,-17.293,13.053,1.581,75.298,-0.144,0.276,2313.886,5.997,6.946,0.149
Co0.37 Cr1.16 Mn1.81 Ni1.18 Si0.45 V0.61,7.099,14.916,201,-18.355,13.678,1.308,66.326,-0.084,0.199,1803.256,3.983,7.351,0.046
Al1 Co1 Mn1 Mo1 Pd1 Si1,6.5,15.5,172.333,-36.111,14.897,1.993,57.883,-0.123,0.298,1771.92,4.335,7.481,0.121
Al1.82 Cu0.86 Mo0.84 Nb1.48 Re0.18 V1.18,5.541,14.148,142.349,-8.856,13.707,1.694,54.362,-0.143,0.438,1976.069,5.305,6.743,0.078
Be1 Cu1 Mg1 V1,5,23,147.5,1.5,11.526,1.478,63.575,-0.185,0.441,1505.942,3.417,7.86,0.088
Al1.17 Co0.26 Cu1.59 Fe0.43 Si0.48,7.303,11.529,123.417,-10.115,11.684,2.036,47.045,-0.057,0.142,1348.393,3.737,7.289,0.033
Cu1 Fe1 Hf1 Nb1,8,19.25,147.5,-8.5,11.526,1.282,49.575,-0.07,0.16,2106.192,5.34,7.303,0.11
Co1.03 Ni1.53,9.598,0.598,203.621,0,5.603,1.108,75.598,0,0,1744.094,4.42,7.737,0
Au1.92 Co0.98 Fe1.33 Ni0.3 Pd1.89 V0.21,7.845,10.934,143.406,-0.355,13.061,1.007,53.142,-0.075,0.171,1680.36,4.086,8.358,0.174
Al0.76 Co0.27 Cr1.32 Nb1.33 Ta0.13 V1.56 Zn1.66,6.852,15.29,145.192,-7.127,14.495,1.498,58.584,-0.105,0.251,1807.244,4.381,7.36,0.006
Al1.83 Cr0.83 Mo0.78 Si0.77 Ti0.26,4.311,22.998,163.051,-24.739,12.066,2.601,63.716,-0.16,0.415,1695.79,4.407,6.747,0.09
Al1.92 Co0.91 Cr0.4 Fe0.39 Mo1.86,5.589,11.411,206.281,-10.503,11.735,1.839,76.629,-0.123,0.279,1891.604,4.825,6.872,0.111
Co0.79 Cr1.55 Cu1.07 Fe0.51 Ni0.56 W1.38,8.816,9.37,259.974,6.167,14.215,1.104,101.662,-0.075,0.154,2255.789,5.206,7.533,0.128
Cr1.34 Ti0.81,5.247,11.842,217.591,-6.575,5.508,1.715,88.251,-0.072,0.152,2089.958,4.383,6.79,0.007
Fe1 Mn1 Mo1 N1 Si1 Ti1,5.667,54.167,210.167,-88.778,14.897,2.648,61.333,-0.102,0.245,1652.858,4.732,8.658,0.52
Cr1 Fe1 Hf1 Re1 Ti1,7.4,19.6,242.6,-18.24,13.381,1.632,89.8,-0.156,0.351,2379.4,5.43,7.24,0.092
Al1.28 Co1.16 Mo1.96 N0.53 Ni0.37 Re1.83 Ti0.55,7.125,62.652,276.168,-37.335,14.914,1.953,98.323,-0.16,0.315,2212.53,5.745,7.737,0.251
Cu1 Fe1 Hf1 Nb1 Pd1 W1,8.667,19.5,187,-20.333,14.897,1.253,67.217,-0.168,0.448,2324.637,5.692,7.569,0.25
Cr1 Fe1 Mo1 Re1 V1 W1,7.667,7.833,303.5,-4.444,14.897,1.182,118.833,-0.061,0.124,2704,6.218,7.376,0.137
Al1 Co1 Mo1 Ni1 Ti1 V1,6.167,15.833,175.333,-22.778,14.897,1.753,66.383,-0.091,0.198,1908.245,4.862,7.03,0.093
Cr1.25 Fe1.11 Mo0.99 Nb1.68 Ti1.59 V1.44,5.494,11.648,180.376,-7.682,14.752,1.492,70.651,-0.09,0.204,2289.325,5.546,6.971,0.073
Al1.95 Co1.27 Mn1.96 Re0.46 Ti1.5,5.891,17.968,164.845,-25.248,12.645,2.02,50.842,-0.151,0.537,1617.018,4.028,7.019,0.038
Al1.49 Au0.74 Co0.99 Cr0.99 Pd1.9,6.877,13.566,143.214,-24.231,12.91,1.47,54.152,-0.135,0.334,1597.759,3.865,7.543,0.208
Al1 Cu1 Fe1 Pd1 V1,7.4,11,132,-18.56,13.381,1.384,51.52,-0.058,0.125,1622.658,4.066,7.339,0.092
Al1 Au1 Li1 Ni1 Ti1 V1 W1,5.429,18.857,144.857,-10.041,16.178,1.65,56.5,-0.278,0.715,1753.064,4.613,7.097,0.479
Al1.52 Cr1.23 Fe0.14 Ni1.29 Pd1.27,7.094,12.224,163.446,-25.42,12.194,1.572,63.638,-0.12,0.276,1633.864,3.93,7.151,0.107
Al1 Co1 Cu1 Hf1 Nb1 Pd1 Ti1,7.143,21.571,127.857,-37.959,16.178,1.73,43.657,-0.05,0.114,1869.184,4.796,7.192,0.15
Co1.24 Cr1.42 Fe1.64 Mn0.72 Ti1.32 V1.38,6.479,15.679,190.894,-11.11,14.676,1.335,71.596,-0.062,0.13,1933.459,4.419,7.256,0.033
Cu1 Fe1 Mo1 Zn1,9.25,7.25,194.5,11.75,11.526,1.37,73.325,-0.079,0.177,1689.363,3.985,8.03,0.067
B1 Ni1 Si1 Ti1 V1 Zr1,5,41.833,182.5,-61.667,14.897,2.347,71.167,-0.154,0.42,2002.667,5.248,7.383,0.121
Co1.46 Fe1.33 Ni1.32 Ti1.87 V1.43,6.965,14.71,168.655,-21.304,13.308,1.536,65.138,-0.024,0.051,1892.339,4.673,7.357,0.046
Hf1 Mo1 Sn1 V1 W1 Y1,6,26.167,187.667,2.556,14.897,1.887,71.167,-0.227,0.529,2264.013,5.775,7.016,0.36
Co1.33 Cu0.69,9.683,1.975,182.015,5.398,5.338,1.02,65.88,-0.018,0.037,1627.872,4.083,7.828,0
Al1 C1 Cr1 Mn1 Nb1 Ta1,5.667,52.5,314.667,-50.222,14.897,1.965,75.55,-0.197,0.467,2431.245,5.57,7.683,0.264
Ba0.8 Cr0.22 Cu0.86 Li1.4 Nb1.62 Pd0.14 Si1.22 Zn1.47,5.925,105.287,87.364,-8.632,15.772,1.928,34.28,-0.208,0.429,1406.171,3.592,7.208,0.292
Cr0.19 Cu0.21 Hf1.97 Ni1.66 Ta1.52 Ti0.33 Zn1.94,9.474,18.251,156.843,-24.221,13.814,1.678,53.718,-0.063,0.145,1980.788,4.766,7.865,0.096
Ba0.56 Co1.84 Cr0.66 Fe0.37 N0.7 Ni0.84 Ta1.35,7.698,118.579,203.03,-47.724,15.113,1.664,68.359,-0.094,0.151,1876.458,4.945,8.236,0.536
Al1.28 Co1.24 Cr0.23 Fe0.74 Mo1.3 Ni0.85 Ti0.13 V1.92,6.336,18.104,185.645,-15.395,15.65,1.435,71.463,-0.082,0.171,1938.36,4.853,7.074,0.079
Fe1 Mn1 Mo1 N1 V1,6.2,53.2,233.2,-75.04,13.381,1.848,66.8,-0.097,0.219,1694.43,4.844,8.743,0.587
Ni0.71 Ti1.4,6.019,15.261,144.265,-31.257,5.31,2.401,54.768,-0.031,0.076,1869.327,4.712,7.101,0.061
Al0.76 Co1.81,7.226,4.93,167.895,-15.828,5.048,1.616,60.598,-0.07,0.135,1521.213,4.085,7.321,0.03
B1 Cr1 N1 Ni1 V1,5.8,42.2,271.4,-75.36,13.381,2.162,91.6,-0.114,0.257,1700.63,4.894,8.797,0.531
Al1 Co1 Cu1 Fe1 Ni1 V1 W1 Zr1,7.5,28.25,181.625,-16.438,17.288,1.384,69.825,-0.129,0.318,1950.53,5.088,7.297,0.157
Mo0.59 Ni0.83,8.338,8.768,253.599,-6.8,5.644,1.256,94.282,-0.023,0.053,2213.296,5.429,7.415,0.03
Co1 Cr1 Fe1 Ni1 Y1 Zr1,6.667,37.833,176.167,-19.556,14.897,1.253,70.333,-0.072,0.15,1902.333,4.7,7.173,0.146
B1.36 Cr0.32 Cu1.75 Ta0.7 V1.87 W1.56,7.474,40.685,256.548,-11.62,13.907,1.47,100.341,-0.125,0.28,2436.21,5.912,7.59,0.165
Cr0.28 Fe1.9 Ni1.36 Pd0.27 Zr1.15,7.617,25.845,179.796,-28.442,11.49,1.17,68.788,-0.055,0.112,1883.499,4.814,7.496,0.124
Co1.51 Fe1.07 Mn1.51 Mo0.38 Si0.75 Y0.41,6.968,49.334,190.382,-22.624,13.824,1.59,62.433,-0.067,0.155,1776.991,4.176,7.627,0.102
Fe1.9 Ni0.31,8.281,1.719,209.457,-0.965,3.371,1.065,81.158,0,0.001,1799.357,4.302,7.865,0.002
B1 Co1 Cr1 Fe1 Mn1 Mo1 Re1 Ti1,6.75,41.75,281.875,-21.25,17.288,1.606,102.375,-0.116,0.237,2240.375,5.124,7.511,0.088
C0.69 Fe0.18 Hf0.34 Mn1.5 Mo0.75 Ni1.64 Pd0.83,7.862,54.54,300.779,-36.061,14.634,1.485,75.197,-0.14,0.347,2138.461,4.706,7.999,0.243
Be1 C1 Cr1 Nb1 V1,4.4,46.6,369.8,-50.88,13.381,1.812,102.4,-0.109,0.225,2517.6,5.542,8.171,0.282
Cu0.52 Li1.97 Mn1.86 Ni1.36 Pd0.61,6.394,16.612,127.114,-2.5,12.347,1.052,36.185,-0.222,0.518,1248.459,2.986,6.953,0.36
Co1.22 Mo0.68 Ni1.18 Ta1.93 Ti1.13 W0.54,8.106,13.169,213.578,-21.386,14.233,1.616,79.732,-0.06,0.15,2500.54,6.16,7.582,0.158
Al1 Au1 Ba1 Li1 Mo1 Sc1 Ti1 V1,3.625,96.875,102.375,-0.125,17.288,1.984,39.062,-0.308,0.793,1569.806,3.807,6.631,0.537
Ag1 Al1 Cu1 Fe1 Ni1 Re1 Zr1,8.286,26,178.714,-10.204,16.178,1.446,67.657,-0.199,0.535,1807.453,4.707,7.335,0.086
Al1 Cr1 Mo1 Si1 W1,5.8,16,239.2,-22.08,13.381,2.254,93.86,-0.139,0.281,2278.294,5.562,7.173,0.165
Pd0.63 W0.7,10,0,273.632,-5.983,5.751,1.207,105.579,-0.129,0.306,2810.655,6.527,8.088,0.013
Co0.69 Hf0.31 Nb1.69 Ni0.52 V0.3,6.792,20.265,144.929,-24.051,11.466,1.242,51.821,-0.052,0.122,2335.538,6.151,7.115,0.063
Ag0.19 Co0.74 Cu1.55 Mo0.27 Ni1.51,9.981,17.484,179.052,6.569,11.25,1.087,66.485,-0.04,0.092,1652.277,4.17,7.676,0.008
Cr0.37 Nb1.69,5.18,14.767,136.252,-4.126,3.914,1.248,51.83,-0.097,0.325,2647.621,6.947,6.76,0.001
Co0.45 Ta1.44,9,16,191.476,-17.415,4.563,1.441,70.429,-0.001,0.001,2927.619,7.217,7.888,0.052
Mn1 Mo1 Ni1 Ta1 Ti1,7.2,12.6,205.8,-15.04,13.381,1.64,68.8,-0.083,0.187,2274.8,5.426,7.378,0.135
Al0.94 Co0.42 Cr1.23 Nb1.25 Ni0.67 Ti1.49 W1.39,6.332,17.139,203.806,-17.953,15.623,1.803,79.221,-0.168,0.377,2290.233,5.694,7.027,0.177
B1 Cu1 Fe1 Ti1 Zr1,6,44.2,200.2,-34.56,13.381,1.91,75.46,-0.17,0.439,1917.354,4.976,7.478,0.132
Co1 Cr1 Cu1 Fe1 Hf1 Ti1,7.667,23.5,181.5,-13.111,14.897,1.465,65.717,-0.086,0.186,1927.295,4.522,7.321,0.092
Fe1.03 Li0.84 Ni1.37 Pd1.07 Sn1.0 Ti1.49,6.388,21.25,125.424,-22.066,14.737,1.918,47.463,-0.173,0.314,1465.726,3.881,7.29,0.255
Al1 Cu1 Fe1 Mn1 Ni1 Pd1 V1 Zr1,7.25,28,144,-28.25,17.288,1.328,50.2,-0.066,0.142,1686.036,4.278,7.301,0.127
Mo0.44 Ti0.89,4.662,5.353,186.466,-3.542,5.277,2.487,69.143,-0.096,0.267,2256.94,5.502,6.918,0.17
Be1 Fe1 Mo1 Nb1 W1,6.2,26,268.6,-11.36,13.381,1.438,106.6,-0.081,0.16,2542.4,6.186,7.789,0.193
Co1.56 Cr1.68 Cu0.28 Fe0.6 Ni1.08,8.231,2.038,225.723,-2.184,12.131,1.022,87.501,-0.028,0.053,1875.672,4.246,7.465,0.023
Al0.65 Au0.57 Mo0.23 Ni0.17 Y1.44,3.987,34.99,95.356,-45.486,11.24,1.875,43.152,-0.106,0.33,1607.658,4.28,6.874,0.516
Cu1 Mn1 Ni1 Pd1 Ta1,9.4,13.2,167,-19.2,13.381,1.148,54.46,-0.039,0.081,1944.564,4.568,7.805,0.134
C1.17 Mn1.48 Nb1.82 Si1.86 Ti1.27 Zn1.0,5.658,53.573,251.974,-63.252,14.688,2.656,58.856,-0.172,0.567,2108.051,4.982,8.105,0.22
Al1 Cr1 Li1 Mo1 Ni1 Si1,5,23.333,166,-14.556,14.897,2.003,64.75,-0.228,0.444,1646.353,4.163,6.839,0.275
Al1.36 Co1.56 Cr0.24 Fe1.94 Mo1.71 Nb0.81 Si1.22 W1.18,6.594,17.654,215.639,-23.041,16.472,1.857,82.111,-0.123,0.258,2161.88,5.454,7.408,0.115
Cu1 Mn1 Ti1,7.333,13,148,-5.778,9.134,1.693,42.433,-0.008,0.017,1605.923,3.753,7.329,0.056
Ag0.16 Au1.85 Co0.12 Fe0.21 Mo0.45 W0.71,6.734,15.657,190.523,9.61,11.223,1.142,71.223,-0.202,0.603,2054.506,5.233,8.475,0.111
Al1 Fe1 Ni1 Pd1 V1,7.2,10.8,146,-25.76,13.381,1.416,57.06,-0.063,0.129,1696.704,4.256,7.322,0.093
Be1 C1 Co1 Fe1 Hf1 Ni1,6.833,48.167,350.167,-46.556,14.897,1.82,94.167,-0.108,0.228,2214.667,4.977,8.472,0.292
Co1.62 V1.25,7.258,5.08,173.721,-13.767,5.694,0.973,67.16,-0.008,0.018,1948.749,4.791,7.387,0.031
B1 W1,6.5,27,430.5,-31,5.763,2.205,165.5,0,0.001,3022,7.315,8.081,0.051
Cr1 Cu1 Fe1 Mn1 V1 W1,7.833,8.667,226.167,5.889,14.897,1.058,83.05,-0.12,0.273,2124.295,4.833,7.406,0.144
Au1.17 Cu1.52 Nb1.01 Ni0.82 V1.21 Zr1.84,6.503,18.822,117.14,-27.794,14.611,1.163,44.306,-0.049,0.112,1899.59,5.215,7.397,0.302
Cu1.32 Mo1.58 Ni0.94 Ta0.9 Ti0.75,8.106,12.027,206.525,-4.343,13.067,1.51,76.484,-0.072,0.152,2260.293,5.553,7.435,0.124
Al1.75 Au0.65 Co0.45 Hf0.34 Ti1.26 Zn1.11,6.049,25.121,104.721,-31.453,13.695,2.349,37.895,-0.05,0.129,1324.642,3.594,7.441,0.207
Al0.3 Cu0.71 Nb0.49 W1.54 Zr1.0,7.564,23.554,220.715,-6.409,12.203,1.473,84.59,-0.239,0.507,2576.697,6.79,7.262,0.355
Cu1 Fe1 Nb1 Ni1 Si1,7.6,19,150.6,-28.48,13.381,1.81,58.26,-0.042,0.089,1866.754,4.882,7.636,0.028
Ag1 Ni1 Ta1 V1 Zr1,7.8,18.2,138.2,-11.36,13.381,1.226,53,-0.059,0.123,2112.786,5.466,7.297,0.108
Au1.23 Co0.11 Cu0.34 Mn0.92 Mo0.81 Ni1.59 W0.54 Zr0.8,7.363,23.716,193.521,-15.835,15.848,1.196,66.477,-0.162,0.397,1969.952,4.991,7.75,0.318
Au1 Co1 Cr1 Hf1 Pd1,7.6,20,166.2,-32,13.381,1.134,58.2,-0.138,0.323,1923.876,4.44,7.807,0.367
Co1 Cr1 Mo1 Pd1 Zr1,7,21.8,206.4,-30.4,13.381,1.158,77.4,-0.102,0.211,2160.01,5.146,7.344,0.21
Co1 Cu1 Ni1 Zr1,8.5,25.75,158.25,-25.75,11.526,1.17,58.075,-0.047,0.099,1745.442,4.712,7.47,0.121
Co1 Cr1 Fe1 Mo1 Zr1,6.6,24.4,224.4,-15.52,13.381,1.176,85,-0.07,0.137,2156.6,5.224,7.257,0.149
Ba0.22 Co0.6 Mo0.64 Si0.92 Ta0.1 Ti0.22 Zr0.25,5.471,114.464,171.146,-39.459,14.382,2.478,64.736,-0.143,0.278,2025.186,5.112,7.413,0.242
Ag0.51 Al1.96 Fe0.57 Mo0.4 Ti1.4,4.969,15.089,122.686,-17.849,11.805,2.44,46.113,-0.122,0.372,1522.208,4.142,6.715,0.071
Co1 Cr1 Fe1 Hf1 Pd1 V1,7.667,23.833,182,-25.667,14.897,1.103,67.167,-0.079,0.17,2046.008,4.665,7.41,0.15
Cr0.9 Ti1.31,4.814,11.262,182.38,-6.759,5.619,2.171,72.914,-0.089,0.229,2038.33,4.545,6.803,0.007
Hf1 Pd1 Zr1,7.333,13.667,119.667,-76,9.134,1.403,35.667,-0.014,0.028,2154.017,5.48,7.265,0.348
Hf1 Mn1 Ni1 Ta1 Y1 Zr1,6.833,29,147.667,-15.333,14.897,1.483,47.333,-0.067,0.148,2161.667,5.412,7.107,0.104
Al1 Cr1 Fe1 Ni1 Sn1,6.2,30.4,162,-5.12,13.381,2.022,63.46,-0.159,0.328,1431.51,3.864,7.128,0.038
Co0.11 Cu1.77 Nb0.92 Ni1.89 Si1.65,7.975,21.057,142.625,-30.59,11.787,2.011,55.188,-0.034,0.069,1762.966,4.678,7.673,0.023
Al1 Cr1 Cu1 Fe1 Mn1 V1,6.667,8.833,169.333,-3.556,14.897,1.322,60.6,-0.109,0.246,1664.04,3.91,7.094,0.031
Cu1 Nb1 Ni1 Ta1 Ti1 V1,7.333,13.5,144.167,-12,14.897,1.497,55.383,-0.029,0.059,2208.295,5.627,7.265,0.054
Al1.5 Cr0.28 Ni1.17 Ti0.38 Zr0.43,5.617,31.654,133.41,-37.626,11.664,2.107,50.926,-0.116,0.303,1511.964,4.264,6.718,0.069
Fe0.95 Zr1.15,5.81,18.619,146.929,-24.773,5.725,1.291,55.167,-0.079,0.195,1984.595,5.512,7.208,0.124
Al1.71 Fe1.7 Mn0.45 Mo0.78,5.724,13.666,177.612,-10.063,10.491,1.829,63.302,-0.13,0.312,1641.673,4.236,7.016,0.082
Ag1.98 Hf1.96 Mn1.47 Mo0.92 Ni0.84,8.601,17.907,168.524,-3.091,12.882,1.29,47.962,-0.144,0.422,1911.533,4.454,7.288,0.19
Al0.56 Ba1.57 Cr0.98,3.441,71.302,107.084,22.274,8.461,1.857,43.498,-0.408,1.275,1359.853,2.614,5.841,0.283
Fe0.89 Mo0.41 Ni0.83,8.394,11.277,229.427,-4.046,8.722,1.158,86.977,-0.016,0.035,1987.507,4.831,7.645,0.029
Al1.58 Au1.62 Co1.24 Mo1.84 Sn0.94,5.374,25.884,159.069,-5.461,13.171,1.931,57.62,-0.221,0.504,1611.786,4.489,7.499,0.211
Al1 Au1 Fe1 Nb1 Ni1,6.2,14.4,132.8,-22.08,13.381,1.508,49.86,-0.109,0.236,1711.96,4.69,7.503,0.235
Ag0.91 Co1.94,9.639,13.614,168.768,16.518,5.207,1.024,60.632,-0.06,0.12,1597.792,3.93,7.784,0.001
Co1.26 Cu1.01 Fe0.67 Ni1.98 Pd0.12 Si0.53,9.144,14.722,180.115,-9.629,13.092,1.404,68.024,-0.02,0.039,1678.153,4.243,7.805,0.005
Co1 Mn1 Mo1 Re1 Si1,7.4,16.8,261.2,-25.6,13.381,1.878,91,-0.146,0.332,2265.8,5.332,7.689,0.075
Fe1.83 Mn0.86 Mo1.56 Nb1.09 V1.9 Zr1.24,5.888,22.172,182.059,-8.97,14.586,1.178,65.802,-0.103,0.223,2231.386,5.592,7.115,0.134
Co1 Cr1 Cu1 Fe1 Ni1 Pd1 V1 W1,8.625,8.625,211.125,-4.562,17.288,1.056,82.288,-0.084,0.196,2068.852,4.85,7.608,0.108
Co1 Hf1 Li1 Mn1,6.25,18.25,140.5,1.25,11.526,1.215,36.05,-0.221,0.494,1561.662,3.74,6.883,0.218
Al1.86 Co0.8 Ni1.04 Pd1.34,7.258,13.067,132.448,-29.376,11.123,1.769,48.992,-0.079,0.189,1467.73,3.887,7.253,0.108
Ag0.76 Cr1.78 Fe0.5 Hf0.31 Ni1.88 V1.95,7.531,27.419,185.994,-3.812,13.382,1.032,74.071,-0.074,0.144,1950.807,4.491,7.157,0.05
Cr1.86 Cu1.2 Fe0.85 Nb1.11 Ni0.7 Ta0.71,7.792,13.605,193.297,-4.678,14.363,1.119,75.572,-0.073,0.148,2149.529,5.088,7.314,0.041
Cr1.99 Fe0.35,6.299,1.701,268.829,-0.509,3.508,0.939,110.064,-0.006,0.011,2124.808,4.127,6.937,0.007
