composition,hardness,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Al1 C0.5 Co1 Cr1 Fe1 Ni1,2250,6.909090909,0.701818182,49.27272727,271.6363636,-25.25619835,14.69716888,1.66,83.50909091,-0.096437769,0.212118646,1886.903636,4.41,7.601090909,0.124938843
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,2280,7.176470588,0.374509804,14.50980392,196.4509804,-12.13379469,13.92087237,1.433137255,75.74509804,-0.072976137,0.144268996,1707.856863,4.167058824,7.232529412,0.034112265
Al1 C0.4 Co1 Cr1 Fe1 Ni1,2375,6.962962963,0.714814815,50.18518519,257.2222222,-23.07270233,14.58502024,1.618148148,81.90740741,-0.092650839,0.203547414,1849.346296,4.355185185,7.533333333,0.108672154
Al1 C0.2 Co1 Cr1 Fe1 Ni1,2386,7.076923077,0.742307692,52.11538462,226.7307692,-18.13609467,14.22159654,1.529615385,78.51923077,-0.083692041,0.179737853,1769.898077,4.239230769,7.39,0.072035503
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,2389,7.636363636,0.242727273,19.81818182,192.1818182,-10.84297521,15.74495536,1.396363636,74.05454545,-0.064600623,0.121604105,1746.021818,4.192727273,7.356363636,0.034257851
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,2431,7.430769231,0.195538462,17.30769231,182.1230769,-8.846390533,17.68335535,1.294307692,65.91846154,-0.064576171,0.138060696,1797.471231,4.209230769,7.344276923,0.044000189
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,2444,6.962962963,0.177037037,12.22222222,187.3703704,-19.83539095,14.58502024,1.662592593,72.7962963,-0.076147682,0.15058122,1684.309259,4.152222222,7.303037037,0.028960219
Mo1 Nb1 Ta1 Ti1 V1,2450,5.8,0.474,8.4,172.8,-2.56,13.3808668,1.642,65.6,-0.083883836,0.198598305,2612,6.53,7.0644,0.116448
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,2508,4.857204117,0.514292453,18.00343053,146.8490566,-2.530156904,12.26154529,1.418349057,57.99957118,-0.08438293,0.215130995,2323.368353,5.956865352,6.793979417,0.108002858
Al1 C0.1 Co1 Cr1 Fe1 Ni1,2550,7.137254902,0.756862745,53.1372549,210.5882353,-15.3479431,13.92087237,1.482745098,76.7254902,-0.078441877,0.163509886,1727.837255,4.177843137,7.314117647,0.051415609
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,2664,6.75862069,0.184827586,11.37931034,181.8275862,-25.23186683,14.87072252,1.859655172,71.01724138,-0.077656643,0.155780391,1684.494828,4.185172414,7.361517241,0.028601665
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,2697,7.272727273,0.229545455,20.27272727,189.4545455,-14.38842975,15.54721513,1.487727273,73.05454545,-0.072473476,0.138542221,1726.735455,4.186818182,7.277272727,0.035372314
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,2720,6.461822376,0.186901961,17.54048443,175.8530565,-23.9025348,14.78453061,1.80216609,67.74119954,-0.081970469,0.171673346,1743.357206,4.283780854,7.141266897,0.042470539
Al1 Cr1 Fe1 Ni1,2927,6.75,0.1575,6,190,-13.25,11.52565132,1.535,74.825,-0.087218337,0.179573365,1663.1175,4.045,7.07375,0.0298375
Al1 Co1 Cr1 Fe1 Ni1 Si1,2950,6.666666667,0.188333333,11,179.3333333,-27.33333333,14.89668823,1.948333333,70.21666667,-0.077925714,0.157810962,1684.578333,4.2,7.387833333,0.028361111
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,2953,7.153846154,0.367307692,14.23076923,199,-11.95266272,14.22159654,1.432307692,76.59615385,-0.073299846,0.144663893,1730.705769,4.218076923,7.229961538,0.038747041
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,3008,7.095238095,0.16952381,20.76190476,189.5714286,-14.65759637,14.33534877,1.428571429,73.1047619,-0.079015753,0.154862896,1734.851429,4.278571429,7.21252381,0.030561451
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,3036,7.090909091,0.347272727,13.45454545,206.0909091,-11.43801653,14.69716888,1.43,78.96363636,-0.074009067,0.144275853,1794.267273,4.36,7.222818182,0.05054876
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,3140,6.909090909,0.216363636,20.72727273,186.7272727,-17.91735537,14.69716888,1.579090909,72.05454545,-0.078732978,0.155995093,1707.449091,4.180909091,7.198181818,0.035791736
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,3161,7.111111111,0.353703704,13.7037037,203.8148148,-11.60493827,14.58502024,1.430740741,78.2037037,-0.073817632,0.144623909,1773.864815,4.314444444,7.225111111,0.046935528
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,3166.2,6.4,0.388,19.2,196.5,-16.88,14.53343194,1.67,76.26,-0.094613842,0.189379041,1814.194,4.403,7.0517,0.065352
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,3170,7,0.161818182,19.81818182,185.7272727,-16.52892562,14.69716888,1.423636364,71.50909091,-0.083649875,0.164950856,1780.994545,4.428181818,7.191909091,0.031666116
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,3176,4.833333333,0.511666667,16.66666667,150,-2.666666667,12.97574634,1.505,58.16666667,-0.098059482,0.249595652,2346.833333,6.065,6.802,0.125961111
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,3208,7.132075472,0.360377358,13.96226415,201.4528302,-11.77643289,14.43190865,1.431509434,77.41509434,-0.073581072,0.144766457,1752.692453,4.267169811,7.227490566,0.043011036
Al1 Cr1 Fe1 Mo0.2 Ni1,3222,6.714285714,0.388095238,14.28571429,196.6190476,-12.65306122,12.56847688,1.528095238,76.97619048,-0.086658425,0.177216761,1721.82619,4.177142857,7.074952381,0.043478458
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,3285,7.156862745,0.174509804,21.37254902,192.0588235,-13.31795463,13.92087237,1.431764706,74.1372549,-0.075428821,0.148219829,1704.994118,4.181764706,7.225862745,0.029720108
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,3300,4.818157034,0.509997274,15.81679389,152.0032715,-2.71078882,13.25423593,1.560089967,58.27290076,-0.106668915,0.27129145,2361.751636,6.133748637,6.807099237,0.137364068
Mo1 Nb1 Ti1 V0.5 Zr1,3307,4.777777778,0.505555556,13.55555556,157.3333333,-2.666666667,13.14521344,1.706666667,58.55555556,-0.129214063,0.328212034,2401.444444,6.316666667,6.820666667,0.167649383
Mo1 Nb1 Ti1 Zr1,3450,4.75,0.5025,12,161,-2.5,11.52565132,1.8075,58.75,-0.144384226,0.366699864,2428.75,6.4425,6.83,0.1884375
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,3641.5,6.526315789,0.375789474,20.21052632,200.7368421,-14.67036011,14.16764081,1.598421053,77.95789474,-0.091137024,0.181270483,1807.52,4.379473684,7.063473684,0.062827701
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,3673.4,6.448979592,0.383265306,19.59183673,198.1428571,-16.05997501,14.42282584,1.642244898,76.91836735,-0.093403098,0.186286931,1811.606122,4.393877551,7.056265306,0.064443982
Mo1 Nb1 Ti1 V1 Zr1,3828,4.8,0.508,14.8,154.4,-2.72,13.3808668,1.626,58.4,-0.116874546,0.2970304,2379.6,6.216,6.8132,0.150992
Mo1 Nb1 Ti1 V0.25 Zr1,3893,4.764705882,0.504117647,13.17647059,159.0588235,-2.602076125,12.70766391,1.754117647,58.64705882,-0.136389631,0.34639123,2414.294118,6.375882353,6.825058824,0.177436678
Mo1 Nb1 Ti1 V0.75 Zr1,3929,4.789473684,0.506842105,14.21052632,155.7894737,-2.703601108,13.33206521,1.664210526,58.47368421,-0.122741062,0.311844326,2389.947368,6.263684211,6.816736842,0.158885319
